timestamp	text
09-59	Streaming stored video
10-36	Streaming stored video
11-16	Streaming stored video streaming: at this time, client playing out early part of video, while server still sending later part of video
11-28	Streaming stored video: challenges continuous playout constraint: during client video playout, playout timing must match original timing
11-48	Streaming stored video: challenges continuous playout constraint: during client video playout, playout timing must match original timing … but network delays are variable (jitter), so will need client-side buffer to match continuous playout constraint
12-14	Streaming stored video: challenges continuous playout constraint: during client video playout, playout timing must match original timing … but network delays are variable (jitter), so will need client-side buffer to match continuous playout constraint other challenges: client interactivity: pause, fast-forward, rewind, jump through video video packets may be lost, retransmitted
12-19	Streaming stored video: playout buffering
12-39	Streaming stored video: playout buffering
12-41	Streaming stored video: playout buffering client-side buffering and playout delay: compensate for network-added delay, delay jitter
12-49	Streaming multimedia: DASH Dynamic, Adaptive Streaming over HTTP
13-16	Streaming multimedia: DASH Dynamic, Adaptive Streaming over HTTP server: divides video file into multiple chunks each chunk encoded at multiple different rates different rate encodings stored in different files
14-10	Streaming multimedia: DASH Dynamic, Adaptive Streaming over HTTP server: divides video file into multiple chunks each chunk encoded at multiple different rates different rate encodings stored in different files files replicated in various CDN nodes manifest file: provides URLs for different chunks
14-16	Streaming multimedia: DASH Dynamic, Adaptive Streaming over HTTP server: divides video file into multiple chunks each chunk encoded at multiple different rates different rate encodings stored in different files files replicated in various CDN nodes manifest file: provides URLs for different chunks client: periodically estimates server-to-client bandwidth consulting manifest, requests one chunk at a time chooses maximum coding rate sustainable given current bandwidth can choose different coding rates at different points in time (depending on available bandwidth at time), and from different servers
14-23	Streaming multimedia: DASH “intelligence” at client: client determines
14-34	Streaming multimedia: DASH “intelligence” at client: client determines when to request chunk (so that buffer starvation, or overflow does not occur) what encoding rate to request (higher quality when more bandwidth available)
14-44	Streaming multimedia: DASH “intelligence” at client: client determines when to request chunk (so that buffer starvation, or overflow does not occur) what encoding rate to request (higher quality when more bandwidth available) where to request chunk (can request from URL server that is “close” to client or has high available bandwidth)
14-49	Streaming multimedia: DASH “intelligence” at client: client determines when to request chunk (so that buffer starvation, or overflow does not occur) what encoding rate to request (higher quality when more bandwidth available) where to request chunk (can request from URL server that is “close” to client or has high available bandwidth) Streaming video = encoding + DASH + playout buffering
15-12	Content distribution networks (CDNs) challenge: how to stream content (selected from millions of videos) to hundreds of thousands of simultaneous users?
15-36	Content distribution networks (CDNs) challenge: how to stream content (selected from millions of videos) to hundreds of thousands of simultaneous users? option 1: single, large “mega-server” single point of failure point of network congestion long (and possibly congested) path to distant clients
15-53	Content distribution networks (CDNs) challenge: how to stream content (selected from millions of videos) to hundreds of thousands of simultaneous users? option 1: single, large “mega-server” single point of failure point of network congestion long (and possibly congested) path to distant clients ….quite simply: this solution doesn’t scale
15-56	Content distribution networks (CDNs) challenge: how to stream content (selected from millions of videos) to hundreds of thousands of simultaneous users? option 2: store/serve multiple copies of videos at multiple geographically distributed sites (CDN)
16-07	Content distribution networks (CDNs) challenge: how to stream content (selected from millions of videos) to hundreds of thousands of simultaneous users? option 2: store/serve multiple copies of videos at multiple geographically distributed sites (CDN) enter deep: push CDN servers deep into many access networks close to users Akamai: 240,000 servers deployed in > 120 countries (2015)
16-19	Content distribution networks (CDNs) challenge: how to stream content (selected from millions of videos) to hundreds of thousands of simultaneous users? option 2: store/serve multiple copies of videos at multiple geographically distributed sites (CDN) enter deep: push CDN servers deep into many access networks close to users Akamai: 240,000 servers deployed in > 120 countries (2015) bring home: smaller number (10’s) of larger clusters in POPs near access nets used by Limelight
16-41	Content distribution networks (CDNs) CDN: stores copies of content (e.g. MADMEN) at CDN nodes
16-54	Content distribution networks (CDNs) CDN: stores copies of content (e.g. MADMEN) at CDN nodes subscriber requests content, service provider returns manifest
17-09	Content distribution networks (CDNs) CDN: stores copies of content (e.g. MADMEN) at CDN nodes subscriber requests content, service provider returns manifest using manifest, client retrieves content at highest supportable rate may choose different rate or copy if network path congested
17-15	Content distribution networks (CDNs) OTT: “over the top”
17-36	Content distribution networks (CDNs) Internet host-host communication as a service
17-48	Content distribution networks (CDNs) Internet host-host communication as a service OTT challenges: coping with a congested Internet from the “edge” what content to place in which CDN node? from which CDN node to retrieve content? At which rate?
18-00	See you in the next video
