timestamp	text
13-54	Create a TABLE Specify a new relation Provide name, attributes, and initial constraints (data types) A constraint NOT NULL may be specified on an attribute CREATE TABLE EMPLOYEE (Fname VARCHAR(15) NOT NULL, Minit CHAR, …); We may specify primary key and foreign keys (more on next slides..)
15-58	CREATE TABLE EMPLOYEE ( Fname VARCHAR(15) NOT NULL, Minit CHAR, Lname VARCHAR(15) NOT NULL, Ssn CHAR(9) NOT NULL, Bdate DATE, Address VARCHAR(30), Sex CHAR, Salary DECIMAL(10,2), Super_ssn CHAR(9), Dno INT NOT NULL, PRIMARY KEY (Ssn), FOREIGN KEY (Super_ssn) REFERENCES EMPLOYEE(Ssn), FOREIGN KEY (Dno) REFERENCES  DEPARTMENT(Dnumber) ); CREATE TABLE DEPARTMENT ( Dname VARCHAR(15) NOT NULL, Dnumber INT NOT NULL, Mgr_ssn CHAR(9) NOT NULL, Mgr_start_date DATE, PRIMARY KEY (Dnumber), UNIQUE (Dname), FOREIGN KEY (Mgr_ssn) REFERENCES EMPLOYEE(Ssn) ); Figure 4.1 SQL CREATE TABLE data definition state-ments for defining COMPANY schema from Figure 3.7.
21-07	CREATE TABLE DEPT_LOCATIONS ( Dnumber INT NOT NULL, Dlocation VARCHAR(15) NOT NULL, PRIMARY KEY (Dnumber, Dlocation), FOREIGN KEY (Dnumber) REFERENCES DEPARTMENT(Dnumber) ); CREATE TABLE PROJECT ( Pname VARCHAR(15) NOT NULL, Pnumber INT NOT NULL, Plocation VARCHAR(15), Dnum INT NOT NULL, PRIMARY KEY (Pnumber), UNIQUE (Pname), FOREIGN KEY (Dnum) REFERENCES DEPARTMENT(Dnumber) ); CREATE TABLE WORKS_ON ( Essn CHAR(9) NOT NULL, Pno INT NOT NULL, Hours DECIMAL(3,1) NOT NULL, PRIMARY KEY (Essn, Pno), FOREIGN KEY (Essn) REFERENCES EMPLOYEE(Ssn), FOREIGN KEY (Pno) REFERENCES PROJECT(Pnumber) ); CREATE TABLE DEPENDENT ( Essn CHAR(9) NOT NULL, Dependent_name VARCHAR(15) NOT NULL, Sex CHAR, Bdate DATE, Relationship VARCHAR(8), PRIMARY KEY (Essn, Dependent_name), FOREIGN KEY (Essn) REFERENCES EMPLOYEE(Ssn) ); Figure 4.1 SQL CREATE TABLE data definition state-ments for defining the COMPANY schema from Figure 3.7.
21-23	Create TABLE: Foreign keys Some foreign keys may cause errors Circular references Foreign key which refers to the table itself Super_ssn refers to the Ssn They refer to a table that has not been created Added later using ALTER TABLE statement
21-43	ALTER TABLE Used to add an attribute to one of the base relations The new attribute will have NULLs in all the tuples of the relation right after the command is executed The NOT NULL constraint is not allowed for such an attribute Example: ALTER TABLE EMPLOYEE ADD JOB VARCHAR(12); The database users must still enter a value for the new attribute JOB for each EMPLOYEE tuple. This can be done using the UPDATE command.
22-10	DROP TABLE Used to remove a relation (base table) and its definition The relation can no longer be used in queries, updates, or any other commands since its description no longer exists Example: DROP TABLE DEPENDENT;
22-29	Constraints in SQL Data types are used to limit the data to be stored in a table There are still many constraints to be handle Key constraints Referential Integrity Constraints Other constraints, ex: product price should only accept positive values SQL allows us to define constraints through DDL An error is raised when a constraint is violated
24-15	Check Constraints Most generic constraint type Specify that the value in a certain column must satisfy a particular condition Example: CREATE TABLE PRODUCTS ( Product_no INT, Name VARCHAR(10), Price INT CHECK (price > 0) ); Constraint may be specified (optional): Price INT CONSTRAINT POS_PRICE CHECK (price > 0)); Clarifies error messages and allow changes to the constraint Can be dropped or replaced with another constraint
25-42	NOT NULL constraint Constraint NOT NULL may be specified for a particular attribute Implicitly specified for primary keys CREATE TABLE PRODUCTS ( Product_no INT NOT NULL, Name VARCAR(10) NOT NULL, Price INT);
26-50	Unique Constraints Ensure that the data in a column is unique with respect to all the rows in the table CREATE TABLE PRODUCTS ( Product_no INT UNIQUE, Name VARCAR(10) NOT NULL, Price INT);
27-13	Primary Keys Combination between unique constraint and NOT NULL constraint CREATE TABLE PRODUCTS ( Product_no INT PRIMARY KEY, Name VARCAR(10) NOT NULL, Price INT); Another way: CREATE TABLE EXAMPLE( A INT, B INT, C INT PRIMARY KEY (A,C));
28-43	Foreign Keys Referential integrity: values in a table must match the values appearing on the other table CREATE TABLE T1 ( A INT PRIMARY KEY, B INT, C INT, FOREIGN KEY (B, C) REFERENCES OTHER_TABLE (C1, C2) );
29-58	Default Values An attribute can be assigned with default value The value will be created when a new row inserted and no value is specified for that attribute If no default value is declared explicitly, the default value is NULL CREATE TABLE PRODUCTS ( Product_no INT, Name VARCAR(10) NOT NULL, Price INT DEFAULT 9.99);
30-40	CREATE TABLE EMPLOYEE ( ..., Dno INT NOT NULL DEFAULT 1, CONSTRAINT EMPPK PRIMARY KEY (Ssn), CONSTRAINT EMPSUPERFK FOREIGN KEY (Super_ssn) REFERENCES EMPLOYEE(Ssn) ON DELETE SET NULL ON UPDATE CASCADE, CONSTRAINT EMPDEPTFK FOREIGN KEY(Dno) REFERENCES DEPARTMENT(Dnumber) ON DELETE SET DEFAULT ON UPDATE CASCADE); CREATE TABLE DEPARTMENT ( ..., Mgr_ssn CHAR(9) NOT NULL DEFAULT ‘888665555’, ..., CONSTRAINT DEPTPK PRIMARY KEY(Dnumber), CONSTRAINT DEPTSK UNIQUE (Dname), CONSTRAINT DEPTMGRFK FOREIGN KEY (Mgr_ssn) REFERENCES EMPLOYEE(Ssn) ON DELETE SET DEFAULT ON UPDATE CASCADE); CREATE TABLE DEPT_LOCATIONS ( ..., PRIMARY KEY (Dnumber, Dlocation), FOREIGN KEY (Dnumber) REFERENCES DEPARTMENT(Dnumber) ON DELETE CASCADE ON UPDATE CASCADE); Figure 4.2 Example illustrating how default attribute values and referential integrity triggered actions are specified in SQL.
30-50	Modifying Database - DML Three commands to modify the database INSERT DELETE UPDATE
31-21	The INSERT Command In its simplest form, it is used to add one or more tuples to a relation (table) Attribute values should be listed in the same order as the attributes were specified in the CREATE TABLE command U1: INSERT INTO EMPLOYEE VALUES ( ‘Richard’, ‘K’, ‘Martini’, ‘653298653’, ‘1962-12-30’, ‘98 Oak Forest, Katy, TX’, ‘M’, 37000, ‘653298653’, 4 );
32-18	INSERT An alternate form of INSERT specifies explicitly the attribute names that correspond to the values in the new tuple Attributes with NULL values can be left out Example: Insert a tuple for a new EMPLOYEE for whom we only know the FNAME, LNAME, and SSN attributes. U1A: INSERT INTO EMPLOYEE (FNAME,LNAME,SSN) VALUES('Richard','Marini','653298653'); Important Note: Only the constraints specified in the DDL commands are automatically enforced by the DBMS when updates are applied to the database
33-12	INSERT Another variation of INSERT allows insertion of multiple tuples resulting from a query into a relation U3A: CREATE TABLE DEPTS_INFO (DEPT_NAME VARCHAR(10), NO_OF_EMPS INTEGER, TOTAL_SAL INTEGER); U3B: INSERT INTO DEPTS_INFO (DEPT_NAME, NO_OF_EMPS, TOTAL_SAL) SELECT DNAME, COUNT (*), SUM (SALARY) FROM DEPARTMENT, EMPLOYEE WHERE DNUMBER = DNO GROUP BY DNAME ; (SQL queries discussed in the next slides …)
35-01	INSERT Note: The DEPTS_INFO table may not be up-to-date if we change the tuples in either the DEPARTMENT or the EMPLOYEE relations after issuing U3B. We have to create a view (see later) to keep such a table up to date.
36-13	The DELETE Command Removes tuples from a relation Includes a WHERE clause to select the tuples to be deleted U4A: DELETE FROM EMPLOYEE WHERE Lname=‘Brown’; U4B: DELETE FROM EMPLOYEE WHERE Ssn=‘123456789’; U4C: DELETE FROM EMPLOYEE WHERE Dno=5; U4D: DELETE FROM EMPLOYEE;
37-49	The UPDATE Command Modify attribute values of one or more selected tuples Additional SET clause in the UPDATE command Specifies attributes to be modified and new values U5: UPDATE PROJECT SET Plocation = ‘Bellaire’, Dnum = 5 WHERE Pnumber=10;
38-58	UPDATE Example: Give all employees in the 'Research' department a 10% raise in salary. U6: UPDATE EMPLOYEE SET SALARY = SALARY *1.1 WHERE DNO IN (SELECT DNUMBER FROM DEPARTMENT WHERE DNAME='Research') In this request, the modified SALARY value depends on the original SALARY value in each tuple The reference to the SALARY attribute on the right of = refers to the old SALARY value before modification The reference to the SALARY attribute on the left of = refers to the new SALARY value after modification
